cinv;cislo;budt;mist;osc;zapl;nazev;poh;nomenkl;kat;typmajet;ucet;datzar;trida;mj;cenamj;czcpa;skp;jkpov;druh;cmnoz;ccena;fizd;hjz;dod;cdokpor;cdok;vyrcis;rok;evcis;cinnost;zak;najz;naji;naj;pracn;datpok;kontr;zpinv;zptck;pozn;obr;prilohy
101;D01040076;903;218;;1.12.2022;stojany na mapy;861;;;1;86;14.10.2003;86;ks;22211,40;31.09.11;28.75.22;;;1,000;22211,40;;;;VD234/2003;P220296;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040079;903;2810;;20.3.2026;hlavový imobilizér;861;D09040401;;1;81;14.10.2003;81;ks;4536,00;32.50.50;33.10;;;1,000;4536,00;;;;386/03;P260091;TA100;;20184;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040080;903;9098;;1.12.2022;hlavový imobilizér;861;;;1;81;14.10.2003;81;ks;4536,00;32.50.50;33.10;;;1,000;4536,00;;;;386/03;P220279;TA100;;20184;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040174;903;218;;1.12.2022;stůl dřev. psací bez zásuvek;861;;;1;85;10.11.2003;85;ks;2699,00;31.09.13;36.1;;;1,000;2699,00;;;;;P220296;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040177;903;403;;23.10.2023;věšák dřevěný stojanový;861;;;1;85;10.11.2003;85;ks;1599,00;31.09.13;36.1;;;1,000;1599,00;;;;;P230306;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040253;903;221;;23.4.2024;chladnička elektr. 175 l;861;Kladno04/26;;1;86;11.11.2003;0;ks;6666,00;27.90.11;29.71;;;1,000;6666,00;;;;;P240126;54200485/1;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040296;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;11.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040297;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;11.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040299;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;11.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040303;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;11.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040304;903;216;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220305;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040305;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040306;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040307;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040308;903;216;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220305;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040309;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040310;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040311;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040312;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040313;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040314;903;216;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220305;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040316;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040317;903;216;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220305;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040318;903;216;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220305;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040319;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040320;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040321;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040322;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040323;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040472;903;2810;;20.3.2026;Motorola GM 360;861;;;1;82;1.1.2004;82;ks;28876,50;26.30.11;32.30;;;1,000;28876,50;;;;;P260091;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040474;903;403;;1.12.2022;Motorola GP 340;861;;;1;82;1.1.2004;82;ks;25400,70;26.30.11;32.30;;;1,000;25400,70;;;;;P220313;672TDLS533;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040475;903;403;;1.12.2022;Motorola GP 340;861;;;1;82;1.1.2004;82;ks;25400,70;26.30.11;32.30;;;1,000;25400,70;;;;;P220313;672TDG8408;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040476;903;403;;1.12.2022;Motorola GP 340;861;;;1;82;1.1.2004;82;ks;25400,70;26.30.11;32.30;;;1,000;25400,70;;;;;P220313;672TGNM981;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040477;903;403;;1.12.2022;Motorola GP 340;861;;;1;82;1.1.2004;82;ks;25400,70;26.30.11;32.30;;;1,000;25400,70;;;;;P220313;672TDLV858;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040478;903;403;;1.12.2022;Motorola GP 340;861;;;1;82;1.1.2004;82;ks;25400,70;26.30.11;32.30;;;1,000;25400,70;;;;;P220313;672TDN9382;;;;;0,00;0,000;0,00;;;;2;2;;;
