budt;budovat;zaplf;koplf;bmist
101;Rakovník;;;
104;Roztoky u Křivoklátu;;1.9.2022;
105;Roztoky u Prahy;;;
106;Nové Strašecí;;;
107;Jesenice u Rakovníka;1.9.2023;;
114;Roztoky u Křivoklátu NOVÁ;;;
200;Mělník;;;
201;Neratovice;;;
202;Mladá Boleslav;;;
204;VZ Benátky nad Jizerou (v nájmu);1.6.2022;;
205;Mnichovo Hradiště;;;
301;RLP Kolín;;;
302;RLP Český Brod;;;
303;RLP Kostelec n ČL;;;
304;Nymburk;;;
305;Městec Králové 1;;1.3.2023;
306;Lysá n. Labem;;;
307;Městec Králové 2;;;
313;RLP Kostelec n ČL nová budova;;1.6.2024;
400;Benešov I;;;
401;Benešov II;;;
402;Vlašim;;;
403;Votice;;;
404;Kutná Hora;;;
405;Zruč n. S.;;;
406;Uhl. Janovice;;;
407;Čáslav;;;
408;Zbraslavice;;;
409;Vranov;;;
410;RLP Jesenice;;1.6.2024;
413;Kolín - neplatné,nepoužívat;;1.12.2021;
501;Jesenice (do 12/25 PV, od 01/26 PZ);;;
504;Říčany;;;
506;Rudná;;1.6.2024;
507;Slapy;;;
508;Hostivice (PZ) zatím nepoužívat;1.2.2025;;
509;Mníšek pod Brdy (PZ asi od 06/26) zatím nepoužívat;1.2.2025;;
510;Zdiby;;;
511;Brandýs n. L. (prázdné,nepoužívat);;1.8.2023;
512;Brandýs n. L. nová budova;;;
513;Český Brod - nepoužívat, ukončeno;;1.10.2022;
514;Kostelec nČL - nepoužívat, ukončeno;;1.10.2022;
515;Řevnice (PZ) zatím nepoužívat, majetek je v Hradiš;1.2.2025;;
516;Hradištko (PZ) zatím nepoužívat;1.2.2025;;
520;Zbraslav (PZ od 01/26);1.10.2025;;
601;Příbram;;;
602;Příbram polikl.;;1.12.2022;
603;Sedlčany I čp. 159;;;
604;Sedlčany II;;1.3.2023;
605;Dobříš;;;
606;Beroun (nepoužívá se);;1.10.2022;
609;sklad CO Brod;;;
610;Krásná Hora n.Vlt.;;;
612;Beroun prof. Veselého č. 461;;;
613;Březnice;;;
614;RZP Zdice;;;
615;Hořovice;;;
616;RZP Hostivice (nepoužívat, ukončeno);;1.7.2022;
617;Hostivice (BE);;;
618;Dobříš Průmyslová 2121;1.3.2024;;
619;Hradištko (BE);1.3.2024;;
701;dílna Benešov;;;
901;Kutná Hora 1. patro;;1.6.2024;
902;Kladno Vančurova 1544 - 901 ředitelství;;;
903;Kladno Vančurova 1544 - 101 RLP Kladno;;;
904;Kladno Vančurova 1544 - 130 ZOS;;;
905;Kladno Vančurova 1544 - 901 ředitelství, VÝPUJČKY;1.9.2025;;
930;Dětský areál Karlov;1.3.2024;;
