cinv;prac;nazinv;zaplf;koplf
100;100;správa Kladno;;
101;101;RLP Kladno;;
102;102;RLP Rakovník;;
104;104;RZP Roztoky u Křivoklátu;;
105;105;RLP Roztoky u Prahy;;
106;106;Nové Strašecí;;
107;107;VZ Jesenice u Rakovníka;1.9.2023;
112;112;LPS Rakovník;;1.12.2021
115;115;LPS zubní Rakovník;;1.12.2021
130;130;dispečink Kladno;;
199;199;správa Rakovník;;
201;201;RLP Mělník;;
202;215;RLP Neratovice;;
203;202;RLP Mladá Boleslav;;
204;204;Benátky nad Jizerou;1.6.2022;
205;203;Mnichovo Hradiště;;
212;212;LPS Mělník;;1.12.2021
232;230;dispečink Mladá Boleslav;;1.12.2021
242;240;pomocné středisko Ml. Boleslav;;1.12.2021
251;200;správa Mělník;;
252;299;správa Ml. Boleslav;;
270;270;vzdělávání Mělník;;
301;301;RLP Kolín;;
302;303;RLP Český Brod;;
303;304;RLP Kostelec n ČL;;
304;302;RLP Nymburk;;
305;305;RLP Městec Králové;;
306;306;Lysá n. Labem;;
312;312;LPS Nymburk;;1.12.2021
351;300;správa Kolín;;
352;399;správa Nymburk;;
401;401;RLP Benešov;;
402;404;RLP Vlašim;;
403;405;RLP Votice;;
404;402;RLP Kutná Hora;;
405;407;RLP Uhlířské Janovice;;
406;406;RLP Zruč n. S.;;
407;403;RLP Čáslav;;
408;408;RV Zbraslavice;;
409;409;RZP Vranov;;
410;410;RLP Jesenice;;1.12.2021
413;413;RLP Kolín;;1.12.2021
431;430;dispečink Benešov;;
441;440;pomocné středisko Benešov;;1.12.2021
451;400;správa Benešov;;
452;499;správa Kutná Hora;;
501;501;RLP Jesenice (do 12/25 PV, od 01/26 PZ);;
503;506;RLP vodní Slapy;;
504;502;RLP Říčany;;
505;504;RLP Brandýs n. L.;;
507;507;RZP Zdiby;;
508;508;Hostivice (PZ), zatím NEPOUŽÍVAT;1.2.2025;
509;509;Mníšek pod Brdy (PZ), zatím NEPOUŽÍVAT;1.2.2025;
510;510;VZ Zbraslav (PZ);1.10.2025;
513;513;RLP Český Brod;;1.12.2021
514;514;RLP Kostelec nČL;;1.12.2021
515;515;Projekt nová VZ PZ (Řevnice);1.2.2025;
516;516;Hradištko (PZ), zatím NEPOUŽÍVAT;1.2.2025;
551;500;správa Praha západ, zatím NEPOUŽÍVAT;1.2.2025;
552;599;správa Praha východ;;
601;601;RLP Příbram;;
602;602;RLP Dobříš;;
603;603;RLP Sedlčany;;
604;604;RLP Beroun;;
605;605;RLP Hořovice;;
606;606;RLP Krásná Hora n.Vlt.;;
607;607;RZP Březnice;;
608;608;RZP Zdice;;
609;609;RZP Hostivice (BE);;
610;610;VS Hradištko (BE);1.3.2024;
612;612;LPS Beroun;;1.12.2021
651;600;správa Příbram;;
652;699;správa Beroun;;
660;660;UTP;;
670;670;vzdělávání Příbram;;
700;700;správa dílna;;
701;701;dílna Benešov;;
901;901;ředitelství ZZS SK;;
909;909;PRACOVIŠTĚ KRIZOVÉ PŘIPRAVENOSTI;;
910;910;FOND ZÁBRANY ŠKOD;;
916;916;COVID19;;
919;919;UKRAJINA;1.4.2022;
921;921;IROP REACT EU Výzva 97;;
923;923;PROJEKT IOP 23;;
924;924;PROJEKT IOP 11;;
925;925;PROJEKT IROP Výzva 13;;
928;928;PROJEKT IROP 28;;1.12.2021
930;930;Dětský areál Karlov;1.3.2024;
945;945;Výzva IROP 79 - eHealth;1.10.2024;
