budt;mist;mistt;zaplf;koplf
101;1;vedoucí řidič (102);;
101;2;bývalá čekárna LPS (102);;
101;3;pokoj řidiči 1 (102);;
101;4;primář ZS (102);;
101;5;lékař. pokoj I (102);;
101;6;lékař. pokoj II (102);;
101;7;stan. sestra (102);;
101;8;pokoj sestry (102);;
101;9;THP (199);;
101;10;pokoj řidiči 2 (102);;
101;11;společenská místnost (102);;
101;12;úklid (102);;
101;13;WC pacienti (102);;
101;14;chodba (102);;
101;15;garáž 151 (102) - převedeno 101/6719, uzavřeno;;1.12.2022
101;16;pokoj řidiči RV (102);;
101;17;WC muži (102);;
101;18;WC ženy (102);;
101;19;sklad (102);;
101;20;místnost (102);;
101;21;šatna muži (102);;
101;22;šatna ženy (102);;
101;23;garáž (102);;
101;28;přístroje (102);;
101;29;garáž 158 (102) - převedeno 101/6720, uzavřeno;;1.12.2022
101;30;garáž 152 5SE 8606(102) převod 101/8606, uzavřeno;;1.12.2022
101;31;garáž 150 Kodiaq 4SY 8120 (102) - převod 101/8120;;1.12.2022
101;32;Kodiaq 4SY 8120 FZŠ -převedeno 101/8120, uzavřeno;;1.11.2022
101;1840;VW Tiguan 3SL 1840 RV, ZKL150, FZŠ;1.9.2022;
101;6719;VW Transp 3SU 6719 RZP, ZKL151, převod 701 03/24;1.11.2022;
101;6720;VW Transp 3SU 6720 RZP2, ZKL158;1.11.2022;
101;7594;Škoda Octavia 2ST 7594, REF RA;1.9.2024;
101;8120;Šk.Kodiaq 4SY 8120 RV, ZKL150, převod 401 04/23;1.11.2022;1.5.2023
101;8407;Šk.Octavia Combi 1SB 8407 přev.do ADBN 08/24;1.11.2022;1.9.2024
101;8563;Škoda Yeti 1SU 8563 (REF);1.10.2025;
101;8589;VW Transp 6SF 8589 RZP1, ZKL151, sanita C IROP921;1.12.2023;
101;8606;VW Transp 3SE 8606 RZP, ZKL152, znovu od 10/24;1.11.2022;
104;1;kuchyňka (104);;1.9.2022
104;2;pokoj č. 1 (104);;1.9.2022
104;3;sklad (104);;1.9.2022
104;4;šatna (104);;1.9.2022
104;5;sprcha (104);;1.9.2022
104;6;garáž (104);;1.9.2022
104;7;přístroje (104);;1.9.2022
104;8;WC (104);;1.9.2022
104;9;pokoj č. 2 (104);;1.9.2022
104;2928;VW Transp 5SJ 2928 RZP, ZKL153, převod 114 09/22;1.5.2022;1.9.2022
105;1;chodba (105);;
105;2;pokoj řidičů (105);;
105;3;pokoj sester (105);;
105;4;pokoj lékařů (105);;
105;5;denní místnost (105);;
105;7;čistící místnost (105);;
105;8;WC nové (105);;
105;10;kuchyně (105);;
105;11;sklad léků, materiálu (105);;
105;12;-----;;
105;13;VW Transp 4SF 0523 přev.105/0523, uzavřeno;;1.12.2022
105;100;před a kolem budovy Masarykova;1.10.2024;
105;107;chodba přízemí;1.9.2024;
105;109;prádelna a sušárna;1.9.2024;
105;110;dekontaminační místnost;1.9.2024;
105;111;WC;1.9.2024;
105;113;sklad SZM;1.9.2024;
105;114;garáž;1.9.2024;
105;115;odpad;1.9.2024;
105;116;kotelna;1.9.2024;
105;117;sklad;1.9.2024;
105;213;chodba 1NP;1.9.2024;
105;214;pokoj sestra;1.9.2024;
105;215;šatna ženy;1.9.2024;
105;216;pokoj řidič;1.9.2024;
105;217;úklid;1.9.2024;
105;218;denní místnost;1.9.2024;
105;219;WC ženy;1.9.2024;
105;220;WC muži;1.9.2024;
105;221;šatna muži;1.9.2024;
105;222;koupelna;1.9.2024;
105;0523;VW Transp 4SF 0523 RZP, ZKL115, převod 903 05/24;1.12.2022;1.8.2024
105;8592;VW Transp 6SF 8592 RZP, ZKL114, sanita C IROP921;1.12.2023;
106;1;společenská místnost (106);;
106;2;dekontaminace (106);;
106;3;pokoj - řidiči (106);;
106;4;prádelna, koupelna (106);;
106;5;kuchyň, chodba (106);;
106;6;přístroje, garáž (106);;
106;7;budova (106);;
106;8;nový prostor (106);1.7.2022;
