skupina;znak;spz;app_vyjezd_1;cela_adresa;inv_cis_sestra;sestra_IMEI;sestra SIM;inv_cis_ridic;ridic_IMEI;ridic_SIM;app_vyjezd_2
Kladno RV;ZKL 110 - 5SL2326;5SL2326;eda19c744fb1;Vančurova 1544, 272 01 Kladno;D09220758;352075820890198;731137081;D09220849;352075821074826;705764079;3fe774d554ca
Kladno RZP 1;ZKL 113 - 5SK7222;5SK7222;0c517c4f1a76;Vančurova 1544, 272 01 Kladno;;355241322805715;731137031;;355241322808073;705764080;ccf50886f336
Kladno RZP 2;ZKL 112 - 5SE9098;5SE9098;b4016a0159f5;Vančurova 1544, 272 01 Kladno;D09220760;352075820889315;731137032;D09220851;352075821071582;705764081;07b447161c09
Kladno RZP 3;ZKL 115 - 4SF0523;4SF0523;4ca0a0e9e6bc;Vančurova 1544, 272 01 Kladno;D09220761;352075820889109;731137075;D09220852;352075820880819;705764082;8db0545f5e68
Roztoky RZP;ZKL 114 - 6SF8592;6SF8592;313a9777b20c;Masarykova 2514, 252 63 Roztoky u Prahy;D09220762;352075820884407;731137098;D09220853;352075821075252;705764083;340fe071e79a
Slapy člun;ZKL 121 - 1S11111;1S11111;;na VODĚ;D09220803;352075820827851;731137058;nakonec měli Motorolu;;604778765;předáno 4.6. 2025
Jesenice RK RZP;ZKL 155 - 7J58993;7J58993;6e9a4c449eac;Plzeňská 420, 270 33 Jesenice u Rakovníka;D09220800;352075820836597;731137029;D09220854;352075821075302;705764084;3a612d3dd80b
Křivoklát RZP;ZKL 153 - 5SJ2928;5SJ2928;6f6e56a70b77;Roztoky č.p. 237, 270 23 Křivoklát;D09220764;352075820879555;731137027;D09220855;352075821074131;705764085;89d6d482cc9b
Nové Strašecí RZP;ZKL 154 - 4SF0525;4SF0525;78cf8dd7b65c;Čsl. Armády 414, 271 01, Nové Strašecí – bud polikli;D09220765;352075820889125;731137006;D09220856;352075821077381;705764086;0e6b23dfab3a
Rakovník RV;ZKL 150 - 5SL1840;5SL1840;b142b74f7bf0;Dukelských Hrdinů 200, 269 01 Rakovník;D09220766;352075820889067;731137079;D09220857;352075821078801;705764087;c0c9004a3a62
Rakovník RZP 1;ZKL 151 - 6SF8589;6SF8589;a441f4c39d69;Dukelských Hrdinů 200, 269 01 Rakovník;D09220767;352075820889075;731137028;D09220858;352075820884423;705764088;497a0f1a1a83
Rakovník RZP 2;ZKL 152 - 5SE8606;5SE8606;92bae34dbb34;Dukelských Hrdinů 200, 269 01 Rakovník;D09220763;352075820836597;705762523;D09220801;352075820830178;705762519;2fcdaf8d149e
Mělník RV;ZKL 210 - 4ST7503;4ST7503;a18a53261d7c;Bezručova 3409, 276 01 Mělník;D09220768;352075820869838;731137025;D09220859;352075820883854;705764089;a30b436e7dba
Mělník RZP 1;ZKL 211 - 5SE8608;5SE8608;cf9cb6a6af5b;Bezručova 3409, 276 01 Mělník;D09220769;352075820839682;731137054;D09220860;352075820889588;705764090;a3d66b99504e
Mělník RZP 2;ZKL 212 - 5SJ2607;5SJ2607;5282989f84fe;Bezručova 3409, 276 01 Mělník;D09220770;352075820889455;731137056;D09220861;352075820885198;705764091;e6beb8b2b182
