8,K/H,Stanoviště,Volací znak / SPZ,Aplikace Výjezdy (kód),Aktivace IS,Kontrola,MAP,Adresa,Inv. čísla 1,RDP 1,XCover IMEI 1,I,SIM 1,Inv. čísla 2,RDP 2,XCover IMEI 2,I,SIM2,Poznámka,Aktivace,kontrola,Aktivace,
Ondrák,MT2025,Kladno RV,ZKL 110 - 5SL2326,eda19c744fb1,X,,💣,"Vančurova 1544, 272 01 Kladno",D09220758,NOVA KONF,352075820890198,h,731 137 081,D09220849,NOVA KONF,352075821074826,ha,705764079,3fe774d554ca,X,,,
Ondrák,MT2025,Kladno RZP 1,ZKL 113 - ???,0c517c4f1a76,X,,💣,"Vančurova 1544, 272 01 Kladno",,NOVA KONF,355241322805715,h,731 137 031,,NOVA KONF,355241322808073,ha,705764080,ccf50886f336,X,,,Vymena : Ridic: 352075821077654 / sestra: 352075820887277
Holovský,MT2025,Kladno RZP 2,ZKL 112 - 5SE9098,b4016a0159f5,X,,💣,"Vančurova 1544, 272 01 Kladno",D09220760,NOVA KONF,352075820889315,h,731 137 032,D09220851,NOVA KONF,352075821071582,ha,705764081,07b447161c09,X,,opraveno pokud tak smazat X,
Holovský,MT2025,Kladno RZP 3,ZKL 115 - 4SF0523,4ca0a0e9e6bc,X,,💣,"Vančurova 1544, 272 01 Kladno",D09220761,NOVA KONF,352075820889109,h,731 137 075,D09220852,NOVA KONF,352075820880819,ha,705764082,8db0545f5e68,X,,,
Ondrák,RDP,Roztoky RZP,ZKL 114 - 6SF8592,313a9777b20c,X,,💣,"Masarykova 2514, 252 63 Roztoky u Prahy",D09220762,,352075820884407,h,731 137 098,D09220853,,352075821075252,ha,705764083,340fe071e79a,X,,,
,Motorola,Slapy člun,ZKL 121 - 1S11111,,,,💣,na VODĚ,D09220803,,352075820827851,,731 137 058,nakonec měli Motorolu,,,,604778765,předáno 4.6. 2025,,,,
Ondrák,RDP,Jesenice RK RZP,ZKL 155 - 7J58993,6e9a4c449eac,X,,💣,"Plzeňská 420, 270 33 Jesenice u Rakovníka",D09220800,,352075820836597,h,731 137 029,D09220854,,352075821075302,ha,705764084,3a612d3dd80b,X,,,
Ondrák,RDP,Křivoklát RZP,ZKL 153 - 5SJ2928,6f6e56a70b77,X,,💣,"Roztoky č.p. 237, 270 23 Křivoklát",D09220764,,352075820879555,h,731 137 027,D09220855,,352075821074131,ha,705764085,89d6d482cc9b,X,,,
Ondrák,RDP,Nové Strašecí RZP,ZKL 154 - 4SF0525,78cf8dd7b65c,X,,💣,"Čsl. Armády 414, 271 01, Nové Strašecí – bud polikli",D09220765,,352075820889125,h,731 137 006,D09220856,,352075821077381,ha,705764086,0e6b23dfab3a,X,ok,,
Ondrák,MT2025,Rakovník RV,ZKL 150 - 5SL1840,b142b74f7bf0,X,,💣,"Dukelských Hrdinů 200, 269 01 Rakovník",D09220766,NOVA KONF,352075820889067,h,731 137 079,D09220857,NOVA KONF,352075821078801,ha,705764087,c0c9004a3a62,X,,,
Ondrák,MT2025,Rakovník RZP 1,ZKL 151 - 6SF8589,a441f4c39d69,X,,💣,"Dukelských Hrdinů 200, 269 01 Rakovník",D09220767,NOVA KONF,352075820889075,h,731 137 028,D09220858,NOVA KONF,352075820884423,ha,705764088,497a0f1a1a83,X,,,
Ondrák,MT2025,Rakovník RZP 2,ZKL 152 - 5SE8606,92bae34dbb34,,,💣,"Dukelských Hrdinů 200, 269 01 Rakovník",D09220763,NOVA KONF,352075820836597,,705 762 523,D09220801,NOVA KONF,352075820830178,ha,705762519,2fcdaf8d149e,,,,
Ondrák,MT2025,Mělník RV,ZKL 210 - 4ST7503,a18a53261d7c,X,,💣,"Bezručova 3409, 276 01 Mělník",D09220768,NOVA KONF,352075820869838,h,731 137 025,D09220859,NOVA KONF,352075820883854,ha,705764089,a30b436e7dba,X,,,
